Config Name	Ontology	Phylogenetic True	Conditional False	Derivate False	Random Falses	Random Falses Min Perc	Random False Val	OWA Weighted Fmax (micro)	OWA Weighted MCC (micro)	OWA Weighted AUPRC	CAFA Weighted Fmax	CAFA AUPRC	OWA Sort Score	CWA Sort Score	Sort Score
Best OWA	BP	0,91	0,36	0,01	true	0,33	0,41	0,992925304097237	0,370649279919991	0,963940633658014	0,502173100120643	0,18984524315973	0,775838405891747	0,346009171640186	0,603906712191123
Best CWA	BP	1	0,39	0,39	true	0,34	0,23	0,941492571331699	0,163447360129588	0,566053838208686	0,524721328193356	0,219948510007785	0,556997923223324	0,372334919100571	0,483132721574223
															
Best Sort	CC	0,96	0,25	0,12	true	0,35	0,24	0,884243518735725	0,521536295894993	0,820633158591775	0,59715794507746	0,26258484266922	0,742137657740831	0,42987139387334	0,617231152193835
Best CWA	CC	0,96	0,24	0,15	true	0,28	0,1	0,789752614812588	0,396808512472381	0,580446965859288	0,626951882816633	0,277007229753252	0,589002697714752	0,451979556284942	0,534193441142828
															
Best OWA	MF	0,94	0,41	0,03	true	0,14	0,28	0,989581195422312	0,649467265787292	0,969151575178597	0,876571521695182	0,449918912418033	0,8694000121294	0,663245217056607	0,786938094100283
Best CWA	MF	0,98	0,28	0,15	true	0,41	0,15	0,934169182335617	0,405024428979038	0,702633373836017	0,892057989014225	0,476426045198771	0,680608995050224	0,684242017106498	0,682062203872734
															
															
															
Best Sort	BP	0,98	0,38	0,03	true	0,35	0,23	0,993326507817622	0,368787851693395	0,937932494933345	0,522387578392169	0,219341539277376	0,766682284814788	0,370864558834772	0,608355194422782
Best Sort	CC	0,96	0,25	0,12	true	0,35	0,24	0,884243518735725	0,521536295894993	0,820633158591775	0,59715794507746	0,26258484266922	0,742137657740831	0,42987139387334	0,617231152193835
Best Sort	MF	0,9	0,3	0,06	true	0,11	0,25	0,990566875124413	0,644973542707542	0,961786570428168	0,866230391087824	0,471227734208863	0,865775662753374	0,668729062648343	0,786957022711362
