Test Name	CAFA Fmax Macro	NAN Fmax Macro	Parameters	Number of Tests
Classic (Full Binary) and NaN Masking	0.50582	0.5493	{'max_depth': 4, 'min_data_in_leaf': 50, 'min_gain_to_split': 10.0, 'max_bin': 64, 'lr': 0.01, 'lambda_l2': 0.1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.8, 'subsample': 0.5, 'ntrees': 10000, 'es': 100}	6
Classic (Full Binary) and Classic+NaN Masking+Neg	0.50582	0.5493	{'max_depth': 4, 'min_data_in_leaf': 50, 'min_gain_to_split': 10.0, 'max_bin': 64, 'lr': 0.01, 'lambda_l2': 0.1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.8, 'subsample': 0.5, 'ntrees': 10000, 'es': 100}	6
Classic (Full Binary) and NaN Masking+Neg	0.50582	0.5493	{'max_depth': 4, 'min_data_in_leaf': 50, 'min_gain_to_split': 10.0, 'max_bin': 64, 'lr': 0.01, 'lambda_l2': 0.1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.8, 'subsample': 0.5, 'ntrees': 10000, 'es': 100}	6
Classic (Full Binary) and Binary Targets	0.50582	0.5493	{'max_depth': 4, 'min_data_in_leaf': 50, 'min_gain_to_split': 10.0, 'max_bin': 64, 'lr': 0.01, 'lambda_l2': 0.1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.8, 'subsample': 0.5, 'ntrees': 10000, 'es': 100}	6
Fuzzy Values and Classic+NaN Masking+Neg	0.50311	0.55901	{'max_depth': 6, 'min_data_in_leaf': 5, 'min_gain_to_split': 3.0, 'max_bin': 192, 'lr': 0.005, 'lambda_l2': 5, 'use_hess': True, 'gd_steps': 2, 'colsample': 0.03, 'subsample': 0.9, 'ntrees': 10000, 'es': 100}	20
u900 and Classic+NaN Masking+Neg	0.49927	0.55526	{'max_depth': 6, 'min_data_in_leaf': 10, 'min_gain_to_split': 10.0, 'max_bin': 256, 'lr': 0.05, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.05, 'subsample': 0.8, 'ntrees': 10000, 'es': 100}	11
Fuzzy Values and NaN Masking+Neg	0.49488	0.56053	{'max_depth': 6, 'min_data_in_leaf': 5, 'min_gain_to_split': 3.0, 'max_bin': 192, 'lr': 0.005, 'lambda_l2': 5, 'use_hess': True, 'gd_steps': 2, 'colsample': 0.03, 'subsample': 0.9, 'ntrees': 10000, 'es': 100}	20
Fuzzy Values and Binary Targets	0.49973	0.54708	{'max_depth': 6, 'min_data_in_leaf': 10, 'min_gain_to_split': 10.0, 'max_bin': 256, 'lr': 0.05, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.05, 'subsample': 0.8, 'ntrees': 10000, 'es': 100}	20
u900 and NaN Masking+Neg	0.48946	0.55748	{'max_depth': 6, 'min_data_in_leaf': 10, 'min_gain_to_split': 10.0, 'max_bin': 256, 'lr': 0.05, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.05, 'subsample': 0.8, 'ntrees': 10000, 'es': 100}	11
u900 and Binary Targets	0.49975	0.5464	{'max_depth': 6, 'min_data_in_leaf': 10, 'min_gain_to_split': 10.0, 'max_bin': 256, 'lr': 0.05, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.05, 'subsample': 0.8, 'ntrees': 10000, 'es': 100}	11
u900 and NaN Masking	0.47854	0.57111	{'max_depth': 5, 'min_data_in_leaf': 5, 'min_gain_to_split': 2.0, 'max_bin': 256, 'lr': 0.01, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 1, 'colsample': 0.4, 'subsample': 0.9, 'ntrees': 5000, 'es': 150}	11
Fuzzy Values and NaN Masking	0.46891	0.57412	{'max_depth': 8, 'min_data_in_leaf': 1, 'min_gain_to_split': 0.1, 'max_bin': 256, 'lr': 0.03, 'lambda_l2': 1, 'use_hess': True, 'gd_steps': 2, 'colsample': 0.05, 'subsample': 0.6, 'ntrees': 6000, 'es': 200}	20
