Model Name	Ontology	Sort Score	OWA Fmax	OWA MCC	OWA AUPRC	CWA Fmax	CWA AUPRC	Parameters Set ID	Params
classic+fuzzy	MF	0.7657114086171232	0.9886665828595618	0.5589584169672565	0.9418665404139345	0.8782054271660293	0.4608600756788343	2	"{""max_depth"": 8, ""min_data_in_leaf"": 1, ""min_gain_to_split"": 0.1, ""max_bin"": 256, ""lr"": 0.03, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.05, ""subsample"": 0.6, ""ntrees"": 6000, ""es"": 200}"
fuzzy-more_negatives	MF	0.7608157334920398	0.9655266490736628	0.5561108106829549	0.9407531948363177	0.8787193266358393	0.462968686231424	2	"{""max_depth"": 8, ""min_data_in_leaf"": 1, ""min_gain_to_split"": 0.1, ""max_bin"": 256, ""lr"": 0.03, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.05, ""subsample"": 0.6, ""ntrees"": 6000, ""es"": 200}"
classic+fuzzy-more_negatives	MF	0.754970478779961	0.9678491380435289	0.5362002650815336	0.8999326714637199	0.885261029670087	0.4856092896409357	8	"{""max_depth"": 4, ""min_data_in_leaf"": 3, ""min_gain_to_split"": 10.0, ""max_bin"": 128, ""lr"": 0.1, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.4, ""subsample"": 1.0, ""ntrees"": 4500, ""es"": 200}"
classic+conditional_negatives-more_negatives	MF	0.6867684728132957	0.960522072974697	0.3379345615197625	0.7641997330901178	0.8842065958208692	0.4869794006610314	2	"{""max_depth"": 8, ""min_data_in_leaf"": 1, ""min_gain_to_split"": 0.1, ""max_bin"": 256, ""lr"": 0.03, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.05, ""subsample"": 0.6, ""ntrees"": 6000, ""es"": 200}"
conditional_negatives-more_negatives	MF	0.6848273271979726	0.9598609663536533	0.34844141533268524	0.7741997053004012	0.8636897554061213	0.47794479359700237	8	"{""max_depth"": 4, ""min_data_in_leaf"": 3, ""min_gain_to_split"": 10.0, ""max_bin"": 128, ""lr"": 0.1, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.4, ""subsample"": 1.0, ""ntrees"": 4500, ""es"": 200}"
classic+conditional_negatives	MF	0.6844176598526377	0.9571473441101598	0.3550990189808499	0.7954412708245119	0.8581151485210996	0.4562855168265672	2	"{""max_depth"": 8, ""min_data_in_leaf"": 1, ""min_gain_to_split"": 0.1, ""max_bin"": 256, ""lr"": 0.03, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.05, ""subsample"": 0.6, ""ntrees"": 6000, ""es"": 200}"
classic	MF	0.6771864909289158	0.9523025549604786	0.3194112021241998	0.724927987899061	0.8913042308044447	0.49798647885639485	3	"{""max_depth"": 4, ""min_data_in_leaf"": 50, ""min_gain_to_split"": 10.0, ""max_bin"": 64, ""lr"": 0.01, ""lambda_l2"": 0.1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.8, ""subsample"": 0.5, ""ntrees"": 10000, ""es"": 100}"
fuzzy	MF	0.6528727580018636	0.9894905080282446	0.6064620157890377	0.9429937099431396	0.33572850440506646	0.38968905184383	2	"{""max_depth"": 8, ""min_data_in_leaf"": 1, ""min_gain_to_split"": 0.1, ""max_bin"": 256, ""lr"": 0.03, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.05, ""subsample"": 0.6, ""ntrees"": 6000, ""es"": 200}"
classic+fuzzy	BP	0.5793499021015586	0.9771443926311013	0.35550455565329875	0.9158691974635462	0.4535564888228435	0.19467487593700308	12	"{""max_depth"": 8, ""min_data_in_leaf"": 50, ""min_gain_to_split"": 1.0, ""max_bin"": 255, ""lr"": 0.005, ""lambda_l2"": 100, ""use_hess"": true, ""gd_steps"": 2, ""colsample"": 0.3, ""subsample"": 0.9, ""ntrees"": 22500, ""es"": 200}"
classic+fuzzy-more_negatives	CC	0.5770102946324369	0.8999353972913323	0.4786012705990191	0.7631583807512394	0.47903110494851814	0.2643253195720757	4	"{""max_depth"": 5, ""min_data_in_leaf"": 5, ""min_gain_to_split"": 2.0, ""max_bin"": 256, ""lr"": 0.01, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.4, ""subsample"": 0.9, ""ntrees"": 5000, ""es"": 150}"
classic+fuzzy	CC	0.5766731819197551	0.9001848761960295	0.48054621460181024	0.7591882780562924	0.47952173031832623	0.2639248104263173	4	"{""max_depth"": 5, ""min_data_in_leaf"": 5, ""min_gain_to_split"": 2.0, ""max_bin"": 256, ""lr"": 0.01, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.4, ""subsample"": 0.9, ""ntrees"": 5000, ""es"": 150}"
conditional_negatives	MF	0.5714577291434964	0.9520239096142079	0.38069972771464844	0.7631127815530843	0.33427673661680046	0.42717549021874046	10	"{""max_depth"": 12, ""min_data_in_leaf"": 10, ""min_gain_to_split"": 2.0, ""max_bin"": 255, ""lr"": 0.08, ""lambda_l2"": 50, ""use_hess"": false, ""gd_steps"": 3, ""colsample"": 0.4, ""subsample"": 0.5, ""ntrees"": 4500, ""es"": 200}"
fuzzy-more_negatives	CC	0.563755736465646	0.8978780740127621	0.4919205736211767	0.7636906800706922	0.4374080232103801	0.22788133141321937	4	"{""max_depth"": 5, ""min_data_in_leaf"": 5, ""min_gain_to_split"": 2.0, ""max_bin"": 256, ""lr"": 0.01, ""lambda_l2"": 1, ""use_hess"": true, ""gd_steps"": 1, ""colsample"": 0.4, ""subsample"": 0.9, ""ntrees"": 5000, ""es"": 150}"
